Period,Country,Indicator,Value
2018-Q3,Paraguay,Mean Labor Income - Decile 10,4806.4
2020-Q4,Chile,Mean Labor Income - Decile 10,4672.4
2016-Q1,Costa Rica,Mean Labor Income - Decile 10,4665.9
2017-Q4,Chile,Mean Labor Income - Decile 10,4649.1
2018-Q4,Chile,Mean Labor Income - Decile 10,4648.1
2021-Q4,Chile,Mean Labor Income - Decile 10,4585.1
2019-Q4,Chile,Mean Labor Income - Decile 10,4564.8
2016-Q4,Chile,Mean Labor Income - Decile 10,4543.4
2020-Q2,Costa Rica,Mean Labor Income - Decile 10,4519.2
2016-Q4,Costa Rica,Mean Labor Income - Decile 10,4475.9
2023-Q4,Chile,Mean Labor Income - Decile 10,4464.5
2016-Q3,Costa Rica,Mean Labor Income - Decile 10,4454.6
2019-Q1,Costa Rica,Mean Labor Income - Decile 10,4433.4
2016-Q2,Costa Rica,Mean Labor Income - Decile 10,4423.0
2019-Q3,Costa Rica,Mean Labor Income - Decile 10,4411.4
2019-Q2,Costa Rica,Mean Labor Income - Decile 10,4385.7
2022-Q4,Chile,Mean Labor Income - Decile 10,4374.3
2017-Q4,Costa Rica,Mean Labor Income - Decile 10,4373.9
2017-Q2,Paraguay,Mean Labor Income - Decile 10,4317.3
2018-Q1,Costa Rica,Mean Labor Income - Decile 10,4291.5
2018-Q3,Costa Rica,Mean Labor Income - Decile 10,4282.4
2018-Q2,Costa Rica,Mean Labor Income - Decile 10,4282.3
2024-Q4,Costa Rica,Mean Labor Income - Decile 10,4265.4
2017-Q3,Paraguay,Mean Labor Income - Decile 10,4259.9
2019-Q4,Costa Rica,Mean Labor Income - Decile 10,4247.7
2017-Q3,Costa Rica,Mean Labor Income - Decile 10,4244.9
2017-Q1,Costa Rica,Mean Labor Income - Decile 10,4239.9
2021-Q2,Costa Rica,Mean Labor Income - Decile 10,4238.7
2017-Q2,Costa Rica,Mean Labor Income - Decile 10,4237.9
2020-Q1,Costa Rica,Mean Labor Income - Decile 10,4180.5
2021-Q3,Costa Rica,Mean Labor Income - Decile 10,4137.0
2020-Q3,Brazil,Mean Labor Income - Decile 10,4132.0
2022-Q1,Costa Rica,Mean Labor Income - Decile 10,4098.4
2018-Q4,Costa Rica,Mean Labor Income - Decile 10,4097.3
2021-Q4,Costa Rica,Mean Labor Income - Decile 10,4064.1
2017-Q4,Paraguay,Mean Labor Income - Decile 10,4019.1
2024-Q3,Costa Rica,Mean Labor Income - Decile 10,4015.3
2019-Q2,Paraguay,Mean Labor Income - Decile 10,3992.4
2020-Q3,Costa Rica,Mean Labor Income - Decile 10,3983.2
2020-Q2,Brazil,Mean Labor Income - Decile 10,3982.6
2021-Q1,Costa Rica,Mean Labor Income - Decile 10,3962.8
2024-Q1,Uruguay,Mean Labor Income - Decile 10,3952.1
2024-Q2,Brazil,Mean Labor Income - Decile 10,3943.2
2022-Q2,Costa Rica,Mean Labor Income - Decile 10,3907.8
