Period,Country,Indicator,Value
2016-Q2,Costa Rica,Wage Employment (% of workers) - Women,81.9
2016-Q1,Costa Rica,Wage Employment (% of workers) - Women,81.7
2016-Q3,Costa Rica,Wage Employment (% of workers) - Women,80.5
2016-Q4,Argentina,Wage Employment (% of workers) - Women,80.4
2017-Q4,Costa Rica,Wage Employment (% of workers) - Women,80.2
2023-Q3,Costa Rica,Wage Employment (% of workers) - Women,80.1
2020-Q2,Chile,Wage Employment (% of workers) - Women,80.1
2020-Q2,Costa Rica,Wage Employment (% of workers) - Women,80.1
2023-Q2,Costa Rica,Wage Employment (% of workers) - Women,79.8
2023-Q1,Costa Rica,Wage Employment (% of workers) - Women,79.8
2020-Q2,Argentina,Wage Employment (% of workers) - Women,79.7
2017-Q1,Costa Rica,Wage Employment (% of workers) - Women,79.7
2016-Q2,Argentina,Wage Employment (% of workers) - Women,79.6
2023-Q4,Costa Rica,Wage Employment (% of workers) - Women,79.4
2016-Q3,Argentina,Wage Employment (% of workers) - Women,79.2
2021-Q2,Bolivia,Informality - Productivity definition - Women,79.2
2021-Q4,Bolivia,Informality - Productivity definition - Women,79.2
2016-Q4,Costa Rica,Wage Employment (% of workers) - Women,79.1
2024-Q2,Costa Rica,Wage Employment (% of workers) - Women,79.0
2024-Q1,Costa Rica,Wage Employment (% of workers) - Women,78.9
2021-Q1,Bolivia,Informality - Productivity definition - Women,78.8
2017-Q4,Argentina,Wage Employment (% of workers) - Women,78.8
2017-Q1,Argentina,Wage Employment (% of workers) - Women,78.7
2020-Q2,Chile,Wage Employment (% of workers) - Total,78.7
2017-Q2,Costa Rica,Wage Employment (% of workers) - Women,78.6
2020-Q3,Chile,Wage Employment (% of workers) - Women,78.5
2022-Q1,Bolivia,Informality - Productivity definition - Women,78.4
2017-Q2,Argentina,Wage Employment (% of workers) - Women,78.3
2024-Q4,Costa Rica,Wage Employment (% of workers) - Women,78.3
2018-Q4,Argentina,Wage Employment (% of workers) - Women,78.3
2017-Q3,Argentina,Wage Employment (% of workers) - Women,78.2
2017-Q3,Costa Rica,Wage Employment (% of workers) - Women,78.1
