Period,Country,Indicator,Value
2016-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,3163.9
2019-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,3000.0
2016-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2991.2
2018-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2991.1
2020-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2988.9
2016-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2950.7
2019-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2946.2
2018-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2925.3
2017-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2910.5
2018-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2908.2
2016-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2902.5
2017-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2891.0
2017-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2867.8
2017-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2823.2
2019-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2809.1
2019-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2769.9
2022-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2749.5
2021-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2736.4
2020-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2699.1
2017-Q4,Chile,Mean Monthly Labor Income by educational attaintment - High,2695.7
2018-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2690.3
2024-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2681.2
2018-Q4,Chile,Mean Monthly Labor Income by educational attaintment - High,2667.3
2016-Q4,Chile,Mean Monthly Labor Income by educational attaintment - High,2659.8
2022-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2617.8
2021-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2609.8
2021-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2582.5
2024-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2574.3
2020-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2567.1
2019-Q4,Chile,Mean Monthly Labor Income by educational attaintment - High,2553.3
2024-Q2,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2536.0
2021-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2510.6
2020-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2478.3
2020-Q4,Chile,Mean Monthly Labor Income by educational attaintment - High,2473.8
2023-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2454.4
2022-Q3,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2452.0
2023-Q4,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2435.1
2019-Q2,Paraguay,Mean Monthly Labor Income by educational attaintment - High,2429.3
2024-Q1,Costa Rica,Mean Monthly Labor Income by educational attaintment - High,2408.0
2021-Q4,Chile,Mean Monthly Labor Income by educational attaintment - High,2405.6
