Period,Country,Indicator,Value
2024-Q3,Brazil,Total Population 15+ - Total,173537465.0
2024-Q2,Brazil,Total Population 15+ - Total,173164672.0
2024-Q1,Brazil,Total Population 15+ - Total,172831909.0
2023-Q4,Brazil,Total Population 15+ - Total,172441947.0
2023-Q3,Brazil,Total Population 15+ - Total,172028293.0
2023-Q2,Brazil,Total Population 15+ - Total,171655840.0
2023-Q1,Brazil,Total Population 15+ - Total,171330802.0
2022-Q4,Brazil,Total Population 15+ - Total,170888652.0
2022-Q3,Brazil,Total Population 15+ - Total,170487187.0
2022-Q2,Brazil,Total Population 15+ - Total,170096927.0
2022-Q1,Brazil,Total Population 15+ - Total,169713689.0
2021-Q4,Brazil,Total Population 15+ - Total,169253216.0
2021-Q3,Brazil,Total Population 15+ - Total,168850114.0
2021-Q2,Brazil,Total Population 15+ - Total,168422516.0
2021-Q1,Brazil,Total Population 15+ - Total,167995048.0
2020-Q4,Brazil,Total Population 15+ - Total,167588724.0
2020-Q3,Brazil,Total Population 15+ - Total,167152589.0
2020-Q2,Brazil,Total Population 15+ - Total,166788097.0
2020-Q1,Brazil,Total Population 15+ - Total,166343876.0
2019-Q4,Brazil,Total Population 15+ - Total,165907127.0
2019-Q3,Brazil,Total Population 15+ - Total,165492196.0
2019-Q2,Brazil,Total Population 15+ - Total,165075666.0
2019-Q1,Brazil,Total Population 15+ - Total,164628947.0
2018-Q4,Brazil,Total Population 15+ - Total,164213410.0
2018-Q3,Brazil,Total Population 15+ - Total,163747862.0
2018-Q2,Brazil,Total Population 15+ - Total,163277362.0
2018-Q1,Brazil,Total Population 15+ - Total,162854856.0
2017-Q4,Brazil,Total Population 15+ - Total,162436515.0
2017-Q3,Brazil,Total Population 15+ - Total,161924240.0
2017-Q2,Brazil,Total Population 15+ - Total,161450111.0
2017-Q1,Brazil,Total Population 15+ - Total,160956032.0
2016-Q4,Brazil,Total Population 15+ - Total,160479677.0
2016-Q3,Brazil,Total Population 15+ - Total,159980015.0
2016-Q2,Brazil,Total Population 15+ - Total,159485860.0
2016-Q1,Brazil,Total Population 15+ - Total,158965967.0
2024-Q3,Brazil,Total Population 15+ by area - Urban,152986458.0
2024-Q2,Brazil,Total Population 15+ by area - Urban,152208095.0
2024-Q1,Brazil,Total Population 15+ by area - Urban,151784680.0
2023-Q4,Brazil,Total Population 15+ by area - Urban,151197420.0
2023-Q3,Brazil,Total Population 15+ by area - Urban,150276158.0
2023-Q2,Brazil,Total Population 15+ by area - Urban,149844702.0
2023-Q1,Brazil,Total Population 15+ by area - Urban,149482573.0
2022-Q4,Brazil,Total Population 15+ by area - Urban,148693847.0
2022-Q3,Brazil,Total Population 15+ by area - Urban,148159693.0
2022-Q2,Brazil,Total Population 15+ by area - Urban,147664430.0
2022-Q1,Brazil,Total Population 15+ by area - Urban,147163748.0
2021-Q4,Brazil,Total Population 15+ by area - Urban,146658361.0
2021-Q3,Brazil,Total Population 15+ by area - Urban,146251218.0
2021-Q2,Brazil,Total Population 15+ by area - Urban,145614000.0
2021-Q1,Brazil,Total Population 15+ by area - Urban,145181267.0
2020-Q4,Brazil,Total Population 15+ by area - Urban,144913475.0
2020-Q3,Brazil,Total Population 15+ by area - Urban,144529646.0
2020-Q2,Brazil,Total Population 15+ by area - Urban,144108697.0
2020-Q1,Brazil,Total Population 15+ by area - Urban,143810667.0
2019-Q4,Brazil,Total Population 15+ by area - Urban,143332471.0
2019-Q3,Brazil,Total Population 15+ by area - Urban,142788038.0
2019-Q2,Brazil,Total Population 15+ by area - Urban,142244432.0
2019-Q1,Brazil,Total Population 15+ by area - Urban,141882651.0
2018-Q4,Brazil,Total Population 15+ by area - Urban,141512242.0
2018-Q3,Brazil,Total Population 15+ by area - Urban,141153845.0
2018-Q2,Brazil,Total Population 15+ by area - Urban,140780711.0
2018-Q1,Brazil,Total Population 15+ by area - Urban,140449932.0
